patient	sample	celltype	plate	well
MGH42	MGH42_P7_A03	Tumor	P7	A03
MGH42	MGH42_P7_A05	Tumor	P7	A05
MGH42	MGH42_P7_A07	Tumor	P7	A07
MGH42	MGH42_P7_A09	Tumor	P7	A09
MGH42	MGH42_P7_B03	Tumor	P7	B03
MGH42	MGH42_P7_B06	Tumor	P7	B06
MGH42	MGH42_P7_B07	Tumor	P7	B07
MGH42	MGH42_P7_B08	Tumor	P7	B08
MGH42	MGH42_P7_B12	Tumor	P7	B12
MGH42	MGH42_P7_C05	Tumor	P7	C05
MGH42	MGH42_P7_C07	Tumor	P7	C07
MGH42	MGH42_P7_C08	Tumor	P7	C08
MGH42	MGH42_P7_C09	Tumor	P7	C09
MGH42	MGH42_P7_C12	Tumor	P7	C12
MGH42	MGH42_P7_D04	Tumor	P7	D04
MGH42	MGH42_P7_D05	Tumor	P7	D05
MGH42	MGH42_P7_D12	Tumor	P7	D12
MGH42	MGH42_P7_E01	Tumor	P7	E01
MGH42	MGH42_P7_E02	Tumor	P7	E02
MGH42	MGH42_P7_E09	Tumor	P7	E09
MGH42	MGH42_P7_E12	Tumor	P7	E12
MGH42	MGH42_P7_F03	Tumor	P7	F03
MGH42	MGH42_P7_F06	Tumor	P7	F06
MGH42	MGH42_P7_F07	Tumor	P7	F07
MGH42	MGH42_P7_F08	Tumor	P7	F08
MGH42	MGH42_P7_F09	Tumor	P7	F09
MGH42	MGH42_P7_F12	Tumor	P7	F12
MGH42	MGH42_P7_G03	Tumor	P7	G03
MGH42	MGH42_P7_G04	Tumor	P7	G04
MGH42	MGH42_P7_G09	Tumor	P7	G09
MGH42	MGH42_P7_G10	Tumor	P7	G10
MGH42	MGH42_P7_G11	Tumor	P7	G11
MGH42	MGH42_P7_H01	Tumor	P7	H01
MGH42	MGH42_P7_H03	Tumor	P7	H03
MGH42	MGH42_P7_H06	Tumor	P7	H06
MGH42	MGH42_P7_H09	Tumor	P7	H09
MGH42	MGH42_P8_A01	Tumor	P8	A01
MGH42	MGH42_P8_A06	Tumor	P8	A06
MGH42	MGH42_P8_A08	Tumor	P8	A08
MGH42	MGH42_P8_B02	Tumor	P8	B02
